State,Maize,Rice,Sorghum,Millet,Wheat,Barley,Fonio,Oats,Teff
Abia,33817.0,17487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abuja Federal Capital Territory,159047.0,124500.0,34554.0,11432.0,0.0,0.0,0.0,0.0,0.0
Adamawa,154836.5,82737.0,75920.0,33360.0,0.0,0.0,0.0,0.0,0.0
Akwa Ibom,32213.999999999996,7206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anambra,38325.0,29793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bauchi,203353.5,75024.0,116272.0,15322.0,0.0,0.0,0.0,0.0,0.0
Bayelsa,30523.499999999996,28416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benue,135215.5,155295.0,53248.0,17388.0,0.0,0.0,0.0,0.0,0.0
Borno,219327.5,56853.0,90350.0,15626.0,0.0,0.0,0.0,0.0,0.0
Cross River,39469.5,49059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta,57151.5,15156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebonyi,58547.99999999999,43719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edo,55895.0,41367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekiti,104811.0,42141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enugu,63976.49999999999,28275.0,3692.0,0.0,0.0,0.0,0.0,0.0,0.0
Gombe,227076.5,64524.0,86138.0,23746.0,0.0,0.0,0.0,0.0,0.0
Imo,47239.5,25647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jigawa,116353.99999999999,64593.0,91416.0,14216.0,0.0,0.0,0.0,0.0,0.0
Kaduna,341960.5,108111.0,116012.0,10320.0,0.0,0.0,0.0,0.0,0.0
Kano,124970.99999999999,131616.0,160836.0,17684.0,0.0,0.0,0.0,0.0,0.0
Katsina,126825.99999999999,66078.0,92976.0,30614.0,0.0,0.0,0.0,0.0,0.0
Kebbi,117487.99999999999,104607.0,105690.0,15114.0,0.0,0.0,0.0,0.0,0.0
Kogi,150804.5,160395.0,33774.0,7752.0,0.0,0.0,0.0,0.0,0.0
Kwara,117421.49999999999,129582.0,39442.0,6184.0,0.0,0.0,0.0,0.0,0.0
Lagos,91528.5,25755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasarawa,109182.5,125217.0,42926.0,6346.0,0.0,0.0,0.0,0.0,0.0
Niger,245213.49999999997,188940.0,142922.0,22722.0,0.0,0.0,0.0,0.0,0.0
Ogun,100184.0,28074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ondo,138719.0,36054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osun,133675.5,34749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oyo,110537.0,32580.0,16874.0,0.0,0.0,0.0,0.0,0.0,0.0
Plateau,229767.99999999997,75135.0,81042.0,14962.0,0.0,0.0,0.0,0.0,0.0
Rivers,47551.0,24204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sokoto,91346.5,48927.0,97968.0,37706.0,0.0,0.0,0.0,0.0,0.0
Taraba,212030.0,116448.0,88582.0,18756.0,0.0,0.0,0.0,0.0,0.0
Yobe,105945.0,48141.0,70460.0,49052.0,0.0,0.0,0.0,0.0,0.0
Zamfara,88224.5,66186.0,107536.0,17088.0,0.0,0.0,0.0,0.0,0.0
