farmer_id,age,education,farm_size,crop_type,region,tech_literacy,financial_access,prev_loan,repayment_status
YF1000,26,Primary,1.1,Cassava,Plateau,High,Some,1,1
YF1001,23,Secondary,4.86,Cassava,Kano,Medium,Full,0,0
YF1002,32,Secondary,3.72,Rice,Kano,Medium,None,1,0
YF1003,34,Primary,0.68,Cassava,Plateau,Medium,Limited,0,1
YF1004,30,Tertiary,2.29,Yam,Plateau,Low,Some,0,1
YF1005,27,Secondary,2.45,Rice,Kaduna,Low,None,0,1
YF1006,32,Secondary,3.85,Cassava,Benue,Medium,None,1,0
YF1007,24,Tertiary,1.63,Tomatoes,Kano,Medium,Limited,0,1
YF1008,26,Secondary,1.33,Yam,Benue,High,Some,1,0
YF1009,29,Primary,0.86,Yam,Benue,Medium,Limited,0,0
YF1010,22,Primary,2.43,Yam,Plateau,Medium,None,1,0
YF1011,26,Secondary,3.6,Rice,Kaduna,Medium,Some,0,1
YF1012,30,Primary,0.76,Cassava,Oyo,Low,Limited,1,1
YF1013,30,Secondary,4.62,Cassava,Kaduna,Medium,Limited,1,0
YF1014,27,Tertiary,2.49,Tomatoes,Kaduna,Low,Some,1,1
YF1015,24,Secondary,1.58,Tomatoes,Benue,High,Limited,1,0
YF1016,23,Primary,0.92,Yam,Kaduna,Low,Full,1,1
YF1017,27,Secondary,1.32,Tomatoes,Kano,Medium,Limited,1,0
YF1018,27,Tertiary,4.71,Rice,Benue,Low,Some,0,1
YF1019,22,Primary,3.37,Cassava,Kano,High,None,0,0
YF1020,25,Secondary,2.83,Yam,Oyo,Medium,Full,1,1
YF1021,24,Primary,3.46,Tomatoes,Benue,Medium,None,1,1
YF1022,21,Secondary,2.46,Rice,Oyo,Low,Full,1,0
YF1023,27,Secondary,3.79,Rice,Benue,High,Limited,0,1
YF1024,31,Primary,0.71,Tomatoes,Plateau,Medium,Full,0,0
YF1025,33,Secondary,3.05,Cassava,Kaduna,High,Limited,0,1
YF1026,25,Secondary,1.21,Tomatoes,Plateau,Medium,Full,1,0
YF1027,21,Secondary,1.04,Yam,Oyo,Low,Some,0,0
YF1028,31,Primary,2.04,Tomatoes,Kaduna,Low,Limited,0,1
YF1029,24,Primary,0.91,Rice,Benue,Medium,Some,0,1
YF1030,20,Primary,0.92,Tomatoes,Kaduna,Medium,Some,0,1
YF1031,31,Primary,1.9,Cassava,Kano,Low,Limited,0,1
YF1032,29,Secondary,4.91,Maize,Kaduna,High,Full,0,1
YF1033,25,Secondary,1.29,Tomatoes,Kano,Medium,Full,1,1
YF1034,32,Primary,0.58,Cassava,Kaduna,Medium,Limited,0,1
YF1035,31,Primary,3.94,Cassava,Kano,Medium,Some,0,1
YF1036,28,Primary,4.13,Rice,Oyo,Medium,Some,0,0
YF1037,20,Secondary,2.06,Cassava,Plateau,Medium,Limited,0,1
YF1038,30,Secondary,2.59,Cassava,Benue,Low,Some,0,0
YF1039,30,Primary,3.42,Cassava,Kaduna,Low,None,0,1
YF1040,34,Tertiary,0.72,Cassava,Plateau,High,Some,1,1
YF1041,29,Primary,4.77,Yam,Benue,High,Some,0,0
YF1042,31,Tertiary,4.49,Yam,Benue,Medium,Some,1,1
YF1043,31,Secondary,1.67,Rice,Kano,Medium,Some,1,1
YF1044,34,Primary,0.57,Tomatoes,Oyo,Medium,None,1,1
YF1045,33,Secondary,4.7,Cassava,Oyo,Medium,None,0,1
YF1046,33,Secondary,2.75,Tomatoes,Plateau,Low,Full,0,1
YF1047,34,Secondary,2.93,Tomatoes,Oyo,Low,Some,0,1
YF1048,33,Secondary,3.58,Rice,Kaduna,High,Some,0,0
YF1049,22,Secondary,3.27,Cassava,Oyo,Medium,Limited,1,1
YF1050,31,Secondary,4.75,Cassava,Plateau,Low,Some,0,0
YF1051,26,Secondary,4.75,Maize,Oyo,Medium,Full,0,1
YF1052,23,Primary,4.4,Tomatoes,Kaduna,Medium,Limited,1,1
YF1053,28,Secondary,3.36,Tomatoes,Kano,Medium,None,1,0
YF1054,22,Primary,4.1,Yam,Plateau,Low,Some,0,1
YF1055,24,Tertiary,3.55,Maize,Kano,Low,Full,0,1
YF1056,22,Secondary,3.08,Yam,Kano,High,Full,0,1
YF1057,26,Tertiary,1.08,Yam,Kano,Low,Some,0,1
YF1058,24,Secondary,4.15,Yam,Benue,Medium,Limited,0,1
YF1059,28,Tertiary,4.19,Rice,Benue,Medium,None,0,1
YF1060,26,Secondary,3.32,Rice,Kano,Low,Full,0,1
YF1061,21,Primary,4.19,Yam,Plateau,Medium,Some,0,1
YF1062,23,Secondary,3.43,Maize,Kaduna,High,Full,0,1
YF1063,28,Secondary,1.43,Tomatoes,Kaduna,High,Limited,0,1
YF1064,31,Tertiary,1.73,Maize,Oyo,High,Limited,0,1
YF1065,33,Secondary,1.47,Cassava,Plateau,Medium,Limited,1,0
YF1066,21,Primary,2.2,Rice,Benue,Medium,Some,1,1
YF1067,29,Secondary,0.68,Tomatoes,Kano,Medium,None,0,1
YF1068,28,Tertiary,3.28,Tomatoes,Oyo,Medium,Some,0,1
YF1069,29,Secondary,2.01,Cassava,Kaduna,High,None,0,1
YF1070,24,Primary,3.45,Cassava,Benue,Low,Limited,1,0
YF1071,21,Tertiary,2.23,Yam,Benue,Low,Some,1,1
YF1072,23,Secondary,3.57,Rice,Kano,Medium,None,0,1
YF1073,31,Secondary,2.03,Rice,Kaduna,Low,Full,1,0
YF1074,34,Tertiary,1.67,Maize,Plateau,Low,Full,0,1
YF1075,31,Secondary,2.73,Yam,Benue,Medium,Full,0,1
YF1076,26,Secondary,3.62,Yam,Kano,Medium,Full,1,0
YF1077,31,Primary,2.07,Yam,Plateau,High,None,1,0
YF1078,32,Secondary,4.71,Yam,Kaduna,High,Some,1,1
YF1079,27,Secondary,0.68,Rice,Benue,Medium,Limited,1,1
YF1080,34,Primary,2.38,Rice,Plateau,Medium,Limited,0,1
YF1081,22,Primary,4.85,Yam,Plateau,Medium,None,1,1
